Date,SMH,XLK,SOXX,IXN,QQQ,VGT,DXJ,TECL,MGK,QLD,PSI,VONG,XNTK,SOXL,FTXL,XSD,RTH,FTLS,VUG,GRID,TQQQ,OEF,AIRR,IOO,AIQ,QTEC,NIKA,MGC,SPYG,VOOG,FXL,DGRW,SPLG,VOO,IVV,SPY,ESGU,VV,SUSA,SPTM,VONE,CIBR,FIW,QQQE,GLDM,QQQM,DXJS,IAU,VTHR,GLD,VTI,SPXL,UPRO,EPI,VIG,SOXQ,ARVR,SPUU,KRMA,URA,BUG,XLV,NXTG,VCR,FTCS,XLC,LOUP,RDVY,CURE,TOK,VHT,SPYV,VOOV,IXJ,DRIV,SEMI,VIS,PPH,VOT,FXZ,XLY,ACWI,DLN,HACK,RSP,XLI,MILN,IVOG,FAS,PIO,VT,DIA,SLX,MGV,SDVY,SKYY,DCSX,VDC,IXP,TAN,UDOW,VOX,XLB,BOTZ,HEDJ,EXI
2019-03-04,50.5,69.8,179.5,26.9,171.2,189.9,49.5,11.7,119.0,20.4,17.2,37.3,67.7,7.8,30.5,76.4,99.3,38.6,150.0,43.5,12.3,121.7,24.6,46.0,14.9,78.6,0.4,95.0,35.9,149.0,61.4,41.8,32.3,252.3,276.2,274.5,60.2,126.3,57.2,34.2,126.2,27.2,49.9,46.0,26.0,,19.4,24.9,125.8,122.8,141.0,42.5,22.5,24.7,106.7,,,49.1,20.4,12.1,,89.4,47.0,164.9,52.5,46.2,23.6,29.5,51.2,64.2,168.4,29.7,106.5,59.6,12.9,,138.4,59.0,136.6,37.5,108.4,69.9,45.9,38.7,101.9,74.3,22.7,65.8,59.7,26.2,71.5,254.7,38.4,76.9,19.9,55.8,,139.6,55.1,23.2,45.9,82.6,54.7,19.0,31.4,86.8
2019-03-11,53.1,73.0,189.4,28.1,178.4,198.9,50.5,13.4,123.1,22.1,17.9,38.5,70.4,9.2,32.1,79.9,101.7,39.1,155.1,44.5,13.8,125.4,24.9,47.5,15.6,82.1,0.5,97.8,36.9,153.3,63.8,42.8,33.1,259.9,284.3,281.3,62.1,129.9,59.1,35.0,129.8,27.9,50.9,47.6,26.0,,19.7,24.9,129.5,123.0,145.0,46.3,24.5,26.3,109.0,,,52.0,21.0,12.6,,92.0,48.7,168.3,53.8,47.0,24.2,30.4,56.3,65.8,174.3,30.5,109.6,61.3,13.3,,139.2,60.5,140.5,37.8,110.6,72.1,47.1,40.0,104.4,74.0,23.3,67.1,65.2,27.0,73.6,258.3,39.8,79.0,20.1,57.7,,142.7,56.7,24.0,48.1,84.4,55.4,19.8,32.3,88.3
2019-03-18,53.4,73.3,190.3,28.2,178.6,198.7,49.9,13.5,122.9,22.2,17.6,38.5,70.5,9.3,31.8,78.7,103.3,38.8,154.9,43.6,13.9,124.0,23.8,47.3,15.7,82.2,0.4,97.1,36.7,153.0,63.5,42.5,32.8,256.5,281.2,279.2,61.5,129.0,58.4,34.7,128.8,27.7,50.2,47.4,26.2,,19.6,25.1,128.2,124.0,143.6,45.2,23.8,25.8,108.1,,,51.2,20.7,12.4,,90.6,48.5,168.8,53.0,47.0,23.9,29.5,53.7,65.5,170.5,29.9,108.2,60.4,13.2,,136.0,60.5,140.4,36.8,111.7,71.3,46.7,39.5,102.7,72.9,23.2,66.4,59.1,26.8,72.7,255.0,38.8,77.9,20.0,57.2,,142.7,56.5,23.3,46.0,84.0,54.3,19.8,31.5,87.2
2019-03-25,53.2,74.0,189.5,28.5,179.7,200.6,50.6,13.9,124.3,22.5,17.7,38.9,71.2,9.2,31.8,78.5,104.8,39.2,156.4,43.6,14.2,125.3,24.4,47.5,15.7,82.4,0.4,97.7,37.2,154.6,63.9,43.1,33.2,259.5,284.6,282.5,62.1,129.8,59.1,35.2,129.9,28.1,51.1,47.8,25.8,,19.9,24.8,129.4,122.0,144.7,46.8,24.6,26.3,109.6,,,52.3,21.1,12.5,,91.8,48.7,172.4,54.0,46.8,24.1,29.8,55.6,65.9,172.5,30.3,108.7,61.1,13.2,,139.9,60.7,142.8,38.0,113.8,72.2,47.1,40.0,104.4,75.0,23.8,67.7,61.9,26.9,73.2,259.1,40.0,78.0,19.9,57.6,,145.2,56.3,23.2,48.2,83.5,55.5,20.1,32.0,88.9
2019-04-01,56.3,75.9,200.7,29.3,184.7,205.6,52.5,14.9,127.1,23.7,18.6,39.8,73.2,10.8,33.6,83.4,106.8,39.7,160.1,45.5,15.3,127.7,25.5,48.6,16.1,86.2,0.4,99.6,37.8,157.3,65.6,44.0,33.9,265.0,290.5,288.6,63.5,132.5,60.4,35.9,132.6,28.1,52.1,49.4,25.8,,20.4,24.7,132.1,122.0,147.8,49.7,26.1,26.6,110.8,,,54.5,21.6,12.9,,92.0,50.3,177.9,55.0,48.3,25.5,31.0,56.0,67.2,173.4,31.0,111.5,61.3,13.9,,143.9,60.0,146.0,39.7,117.5,73.7,48.0,40.0,107.0,77.0,24.2,69.1,66.6,27.5,74.8,264.2,42.0,79.4,20.6,58.8,,143.9,57.6,24.8,51.0,86.1,57.8,21.2,33.0,91.1
2019-04-08,57.0,76.8,203.3,29.6,185.8,208.4,52.2,15.4,128.2,24.0,18.9,40.0,73.7,11.2,34.2,85.2,106.9,39.7,161.4,45.6,15.6,128.4,25.8,48.7,16.4,87.5,0.4,100.2,38.0,158.2,66.9,44.1,34.1,266.5,292.2,290.2,64.0,133.2,60.9,36.2,133.4,29.0,51.8,49.6,25.8,,20.2,24.7,132.9,121.8,148.7,50.5,26.6,26.4,111.8,,,55.1,21.6,12.7,,89.8,50.3,179.0,55.4,49.0,25.9,31.2,51.9,67.6,169.3,31.2,112.1,59.8,14.1,,144.7,58.5,147.2,39.6,118.3,74.0,48.2,41.1,107.8,77.3,24.5,69.8,69.5,27.3,75.2,264.1,40.6,79.5,20.8,59.6,,145.2,58.5,24.6,50.8,87.6,58.1,21.4,33.2,91.6
2019-04-15,58.9,77.8,211.7,29.9,187.4,210.4,52.6,16.0,128.3,24.4,19.4,40.0,74.3,12.6,34.8,87.0,107.8,39.4,161.2,46.4,16.0,129.1,26.0,49.1,16.5,88.3,0.4,100.2,38.0,157.7,66.5,44.3,34.1,266.3,292.0,290.0,63.9,133.1,60.7,36.0,133.2,28.3,51.8,49.4,25.5,,20.2,24.4,132.6,120.4,148.3,50.3,26.5,26.5,112.3,,,55.0,21.7,12.4,,85.9,51.4,180.4,55.5,49.2,26.1,31.3,45.2,67.7,161.5,31.3,112.3,57.4,14.4,,146.5,56.6,145.5,39.3,119.3,74.1,48.3,40.2,107.1,78.3,24.3,69.1,69.1,27.3,75.2,265.6,40.3,79.6,20.9,59.4,,146.7,59.0,25.1,51.7,87.9,57.8,21.8,33.6,92.7
2019-04-22,57.9,78.6,210.1,30.1,190.6,212.9,52.1,16.5,130.6,25.2,19.3,40.7,75.5,12.3,34.1,86.5,107.9,39.8,164.2,46.1,16.8,130.7,25.7,49.3,16.7,88.8,0.4,101.5,38.7,160.8,67.9,44.2,34.5,269.5,295.5,293.4,64.5,134.8,61.0,36.5,134.7,29.4,52.2,50.0,25.7,,20.1,24.6,134.1,121.4,150.2,52.0,27.4,26.1,113.0,,,56.2,21.8,12.2,,89.0,51.1,182.2,55.7,50.8,25.3,31.5,50.2,68.0,167.6,31.4,112.8,59.3,14.0,,145.4,58.2,147.6,38.8,120.7,74.4,48.4,41.5,107.8,77.5,24.8,70.2,72.0,27.5,75.5,265.3,38.7,80.1,20.8,60.7,,147.1,60.0,25.5,51.4,89.8,57.1,21.3,33.5,92.2
2019-04-29,58.7,78.8,213.6,30.2,191.1,213.7,52.2,16.6,130.6,25.3,19.7,40.7,76.1,12.9,35.0,88.0,108.4,40.0,164.1,46.1,16.9,131.0,26.0,49.5,16.9,89.2,0.4,101.7,38.6,160.7,68.0,44.3,34.6,270.0,296.0,294.0,64.8,135.1,61.2,36.7,135.2,29.5,53.3,50.6,25.5,,20.2,24.5,134.8,120.7,150.6,52.2,27.5,26.2,113.4,,,56.5,21.9,12.1,,90.2,51.5,182.2,55.5,50.1,25.9,31.7,52.0,68.4,169.6,31.5,113.4,60.1,14.2,,147.1,59.0,148.2,38.9,120.1,74.7,48.6,41.7,108.1,78.4,24.9,70.5,74.3,27.9,75.8,265.0,39.2,80.5,20.8,60.8,,148.2,59.3,26.2,51.2,88.8,56.7,21.8,33.7,92.9
2019-05-06,55.2,76.2,201.2,29.2,185.0,206.6,49.4,15.0,127.4,23.7,18.7,39.8,73.2,10.7,33.0,83.9,106.3,39.7,160.4,45.3,15.3,128.0,25.2,48.2,16.4,84.9,0.3,99.6,37.9,157.5,66.0,43.2,33.9,264.5,290.0,288.1,63.1,132.3,59.8,35.9,132.4,28.6,52.0,48.8,25.7,,19.3,24.6,131.9,121.4,147.5,49.0,25.8,24.8,112.0,,,54.0,21.5,11.6,,88.9,49.1,177.3,54.7,49.1,24.7,30.8,49.7,67.0,167.1,30.9,110.8,59.3,13.4,,143.1,58.5,145.6,37.7,117.3,72.9,47.7,39.8,106.0,76.3,24.2,68.9,70.6,27.1,74.0,259.9,38.0,79.2,20.4,59.2,,147.7,58.2,25.4,48.2,87.3,55.1,20.6,32.7,90.4
